Epoch,Average Loss,accuracy_score,roc_auc_score,average_precision_score,mean_absolute_percentage_error,f1_score,r2_score,recall_Score,cohen_kappa_score
1,0.7917276293208654,0.6921875002709302,0.6514632810245861,0.7795098759233952,140224.4965110086,0.7339510919356887,-0.7143354388800535,0.810633088377389,0.3305779959667813
2,0.597953079099005,0.7703125002709302,0.7356460124931552,0.8286142064766451,123470.35919744318,0.8263062970204786,-0.18577119437131015,0.8830434734171088,0.4606788083910942
3,0.5033867543732579,0.8164772729982029,0.7774203846400435,0.8580131679773331,102709.84907670454,0.866248675368049,0.04143916476856579,0.9116294417868961,0.5531777854670178
4,0.531369843266227,0.7910511364991014,0.7481618692929094,0.847198486328125,115336.12163529833,0.8460041169415821,-0.07236779616637663,0.89867314086719,0.500771011818539
5,0.511625506407158,0.7980113639072939,0.770122867077589,0.8513454361395403,101010.18026455966,0.845374424349178,-0.1272355318069458,0.885853608223525,0.5261525667526505
6,0.4560799090699716,0.8188920454545454,0.7768095376139338,0.8749660233205016,105016.564453125,0.8696341534907167,0.11243584819815376,0.9193342680280859,0.559590304439718
7,0.4524332352659919,0.8251420455900106,0.7928833920847286,0.8790023042397066,97125.1546164773,0.8743447519161485,0.12746014920147983,0.9152175486087799,0.5770029229196635
8,0.4670326995070685,0.8116477274081924,0.76934925602241,0.8719411119818687,101981.41637961651,0.8636826371604746,0.039641532030972565,0.9048556279052388,0.5366477478634227
9,0.4216332168064334,0.8265625001354651,0.7948834269561551,0.8961606594649228,93604.37238103693,0.8751162012869661,0.12171286954121156,0.9126835296099837,0.5821036879311908
10,0.4424816715446385,0.8294034092263742,0.8021196336908774,0.8949027393351902,91054.83852095174,0.8755720786072991,0.11111223358999599,0.9137524122541602,0.5878157175400041
11,0.46778943491252983,0.8125,0.7853847498243506,0.884196630933068,94697.04230291193,0.8629717982628129,-0.038669679652560844,0.8971764364025809,0.5476161336356943
12,0.5479692731221969,0.7946022728627379,0.7463819770650431,0.8503322418440472,112422.36856356534,0.8505852432413534,-0.06044620004567233,0.8971651155840267,0.4894568689844825
13,0.6097740535200997,0.7697443183172833,0.7214093038981612,0.8252086388793859,124563.01575816762,0.8324934681030837,-0.23074882206591693,0.8859598445282741,0.44308842854066327
14,0.4619808119129051,0.8264204548163847,0.7905310710722749,0.8722590871832587,104045.3075727983,0.873329642821442,0.12340328977866606,0.9290194030512463,0.5770029025998983
15,0.48143768192014913,0.7997159090909091,0.7643506987528368,0.85691448436542,119585.33087713068,0.8553388962014155,-0.02799008380283009,0.9157812202518637,0.5173678608103232
16,0.41957646879282867,0.8309659090909091,0.7989387627352368,0.895245333286849,98946.24209872159,0.8784415423870087,0.14591259373859924,0.9268953928893263,0.5922084918076341
17,0.44702977941117505,0.8130681819536469,0.7885444089770317,0.8842249248515476,91054.85472301139,0.861824282868342,0.030068084597587585,0.8882675722918727,0.5565153888680718
18,0.4576529824936932,0.8235795457254756,0.7999563908035104,0.8820551091974432,84984.53295454552,0.8686062795194712,0.06484158472581343,0.8950697061690417,0.5766134783625603
