,fit_time,score_time,test_accuracy_score,train_accuracy_score,test_roc_auc_score,train_roc_auc_score,test_average_precision_score,train_average_precision_score,test_mean_absolute_percentage_error,train_mean_absolute_percentage_error,test_f1_score,train_f1_score,test_r2_score,train_r2_score,test_recall_Score,train_recall_Score,test_cohen_kappa_score,train_cohen_kappa_score
KNeighborsClassifier(n_neighbors=3),0.021650099754333497,0.13312387466430664,0.7648341708542714,0.9386240546928798,0.6982674044423515,0.918236230531349,0.7919827651317666,0.9330385734367045,677271227379412.9,192385407635384.2,0.8370558078010315,0.9560830737888388,-0.0935646450715912,0.7147103827543553,0.8766423357664234,0.972830494728305,0.4133017265626636,0.8543055876580826
"SVC(C=0.025, kernel='linear')",0.4721374988555908,0.057952141761779784,0.7818819095477386,0.8403224125416431,0.7023902960446403,0.7780233248883743,0.794527233374603,0.8334676151551375,720179895185917.8,548560121271360.9,0.8531647688448833,0.8904503224476779,-0.014292441723569615,0.25778224210059086,0.9153284671532844,0.9448499594484995,0.432907365265731,0.5996237610282409
"SVC(C=1, gamma=2)",1.0268531084060668,0.25382170677185056,0.6867211055276383,1.0,0.5,1.0,0.6867211055276383,1.0,1410882712408769.5,0.0,0.8142662851490744,1.0,-0.4562043795620438,1.0,1.0,1.0,0.0,1.0
DecisionTreeClassifier(max_depth=5),0.1755307674407959,0.017448997497558592,0.7362437185929649,0.8562505350795021,0.6438539248993688,0.7950755226357439,0.759461839187801,0.8445578663126956,851191645149976.9,520223438106211.7,0.8225480928361952,0.9017036941022516,-0.22656833395001522,0.33181618000739355,0.8912408759124087,0.9588807785888077,0.309426219933516,0.6373638343669612
"RandomForestClassifier(max_depth=5, max_features=1, n_estimators=10)",0.08727440834045411,0.021147489547729492,0.741819095477387,0.7955456259964886,0.6036175862700468,0.6765959106899412,0.7397065823810034,0.7724834042818454,1081339164800953.0,905730320106407.0,0.8397509748851508,0.8699750188903274,-0.20031077025425983,0.04966063010843438,0.9737226277372262,0.9951338199513382,0.23742462410186196,0.4252966774893839
"MLPClassifier(alpha=1, max_iter=1000)",7.295115232467651,0.021050071716308592,0.8074246231155779,0.9798941007872648,0.7553689625917082,0.9723577368967963,0.8258155977878137,0.9763248441826449,541846402403608.6,67472830096684.39,0.8641969388048552,0.9854670028115112,0.1043214444556568,0.9065431980969516,0.894890510948905,0.9925385239253852,0.5286459888831069,0.9528607717246336
AdaBoostClassifier(),3.2194889783859253,0.041100144386291504,0.7924145728643216,0.9082141993039313,0.7404338636796842,0.8791755785357729,0.815201160131859,0.9038115523592138,562225756496307.7,280176138142265.8,0.8530788198860257,0.9347350231329132,0.03470218006361161,0.5733563441560365,0.8795620437956204,0.956934306569343,0.4967980868327114,0.7803947911542335
GaussianNB(),0.02592785358428955,0.018054485321044922,0.685675879396985,0.7224725325855663,0.6525873539118183,0.6965716200841037,0.7712734184988926,0.7876937406542881,616110533947409.1,525981354672314.5,0.7604188435315125,0.7908780650032171,-0.4612996662443332,-0.290006622124123,0.7416058394160584,0.7659367396593674,0.28925401158619546,0.3788903582350799
QuadraticDiscriminantAnalysis(),0.33609967231750487,0.019957518577575682,0.6490577889447235,0.8046293837745283,0.6472001711759188,0.8327337132306306,0.7647343506170245,0.8882692949138029,503678961340491.4,129904392388314.1,0.6749331434757566,0.8105662294944718,-0.6316606306599243,0.09191431872420716,0.6518248175182482,0.7575020275750204,0.2826034850012099,0.6233691560920441
