,fit_time,score_time,test_accuracy_score,train_accuracy_score,test_roc_auc_score,train_roc_auc_score,test_average_precision_score,train_average_precision_score,test_mean_absolute_percentage_error,train_mean_absolute_percentage_error,test_f1_score,train_f1_score,test_r2_score,train_r2_score,test_recall_Score,train_recall_Score,test_cohen_kappa_score,train_cohen_kappa_score
KNeighborsClassifier(n_neighbors=1),0.0037395477294921873,0.014251494407653808,0.7433743718592966,1.0,0.6900152675464659,1.0,0.7878488772415022,1.0,638854843623325.4,0.0,0.8172969497430149,1.0,-0.19279584842335024,1.0,0.8328467153284672,1.0,0.37914163943888385,1.0
"SVC(C=1, kernel='linear')",0.2499081611633301,0.010149955749511719,0.7693366834170854,0.876356651425948,0.7055510705969854,0.8394483933731,0.7957034036817054,0.8756787059813294,656880557709760.4,365959274234913.94,0.837509487778744,0.9124722197825157,-0.07268398608167861,0.42527519425786897,0.8766423357664234,0.9382806163828061,0.4337283317316647,0.7025046169616888
"SVC(C=1, gamma='auto')",0.1420900821685791,0.025507545471191405,0.7693793969849245,0.8681702142179153,0.6750821308038166,0.8065170751722232,0.7783029913438699,0.8511726028527302,814913905438042.8,505918961198560.9,0.8477050974495735,0.9101149123739575,-0.07224875822709595,0.38722681027346806,0.9277372262773722,0.9716139497161397,0.3820069556032053,0.666607556725499
DecisionTreeClassifier(max_depth=20),0.08261992931365966,0.0026663780212402345,0.7363015075376885,1.0,0.6830758219620947,1.0,0.7817038165297626,1.0,647963883070645.1,0.0,0.8108083623243696,1.0,-0.22597949626440333,1.0,0.8255474452554745,1.0,0.36891652206501846,1.0
"RandomForestClassifier(max_depth=20, max_features=1, n_estimators=10)",0.020371437072753906,0.003332710266113281,0.7222738693467337,0.9959342333008667,0.6381266328052294,0.9942358518152007,0.7589740833918144,0.9949395056998138,828492597781873.5,14548249244498.479,0.8107080792181683,0.9970452687166185,-0.2911435149367808,0.9811012188345135,0.8635036496350365,0.9987834549878345,0.28816973400386825,0.9905294546264745
"MLPClassifier(alpha=1, max_iter=1000)",1.1905683517456054,0.0032336235046386717,0.7899698492462311,0.9899749986041403,0.7262027163899074,0.9851119859457214,0.8083653566410325,0.9868522135970956,627505319939273.6,39379639873154.33,0.8551043648698282,0.9927421764424629,0.023679273137714386,0.9534020666693088,0.897080291970803,0.9981346309813462,0.4724108669995479,0.9765411950057779
AdaBoostClassifier(),0.5777392864227295,0.005852937698364258,0.7858844221105528,0.9082698785912365,0.7244410620381895,0.8808127674095811,0.8054271227958543,0.9052311763310794,620863076267749.8,271897517824828.66,0.8503935483544991,0.9345961074973564,0.004270988671742093,0.5736150670502758,0.889051094890511,0.9543390105433902,0.4689263603282095,0.7812825617824307
GaussianNB(),0.0036990165710449217,0.0028992176055908205,0.6896859296482412,0.7273178093069712,0.6568187254495237,0.700824109413276,0.773165587384905,0.7901480593954011,609332503352446.9,522219437618463.5,0.7635286119406194,0.7950282023143107,-0.44265943093350685,-0.2674857204392892,0.7452554744525547,0.7717761557177616,0.29805613168049844,0.3880728023958597
QuadraticDiscriminantAnalysis(),0.07003214359283447,0.003824806213378906,0.6676331658291458,0.8555353896929729,0.6444265046101636,0.8746263156539988,0.7611496829816208,0.9152505526673778,589236038683577.6,104826295772911.53,0.7058717034254967,0.8643927435857078,-0.5451551235045466,0.32854127627936697,0.7065693430656934,0.8235198702351987,0.28841303245278727,0.7176979308772331
